Minute,Class,Awake status
20:27,Light sleep,
20:28,Light sleep,
20:29,Light sleep,
20:30,Light sleep,
20:31,Light sleep,
20:32,Light sleep,
20:33,Light sleep,
20:34,Light sleep,
20:35,Light sleep,
20:36,Light sleep,
20:37,Light sleep,
20:38,Light sleep,
20:39,Light sleep,
20:40,Light sleep,
20:41,Light sleep,
20:42,Light sleep,
20:43,Light sleep,
20:44,Deep sleep,
20:45,Light sleep,
20:46,Light sleep,
20:47,Deep sleep,
20:48,Light sleep,
20:49,Deep sleep,
20:50,Deep sleep,
20:51,Deep sleep,
20:52,Deep sleep,
20:53,Deep sleep,
20:54,Deep sleep,
20:55,Deep sleep,
20:56,Deep sleep,
20:57,Deep sleep,
20:58,Deep sleep,
20:59,Deep sleep,
21:00,Deep sleep,
21:01,Deep sleep,
21:02,Deep sleep,
21:03,Deep sleep,
21:04,Deep sleep,
21:05,Deep sleep,
21:06,Deep sleep,
21:07,Deep sleep,Awake
21:08,Deep sleep,
21:09,Deep sleep,Awake
21:10,Deep sleep,Awake
21:11,Deep sleep,Awake
21:12,Deep sleep,Awake
21:13,Deep sleep,Awake
21:14,Deep sleep,Awake
21:15,Deep sleep,
21:16,Deep sleep,
21:17,Light sleep,
21:18,Deep sleep,
21:19,Light sleep,
21:20,Light sleep,
21:21,Deep sleep,
21:22,Light sleep,
21:23,Light sleep,
21:24,Light sleep,
21:25,Light sleep,Awake
21:26,Light sleep,Awake
21:27,Light sleep,Awake
21:28,Light sleep,Awake
21:29,Light sleep,Awake
21:30,Light sleep,
21:31,Light sleep,
21:32,Light sleep,
21:33,Light sleep,
21:34,Light sleep,
21:35,Light sleep,
21:36,Light sleep,
21:37,Light sleep,
21:38,Light sleep,
21:39,Light sleep,
21:40,Light sleep,
21:41,Light sleep,
21:42,Light sleep,
21:43,Light sleep,
21:44,Light sleep,
21:45,Light sleep,
21:46,Light sleep,
21:47,Light sleep,Awake
21:48,Light sleep,Awake
21:49,Light sleep,Awake
21:50,Light sleep,
21:51,Light sleep,Awake
21:52,Light sleep,Awake
21:53,Light sleep,Awake
21:54,Light sleep,Awake
21:55,Light sleep,Awake
21:56,Light sleep,Awake
21:57,Light sleep,Awake
21:58,Light sleep,Awake
21:59,Light sleep,Awake
22:00,Light sleep,
22:01,Light sleep,
22:02,Light sleep,Awake
22:03,Light sleep,
22:04,Light sleep,
22:05,Light sleep,
22:06,Light sleep,
22:07,Light sleep,
22:08,Light sleep,
22:09,Light sleep,
22:10,Light sleep,
22:11,Light sleep,
22:12,Light sleep,
22:13,Light sleep,
22:14,Light sleep,
22:15,Light sleep,
22:16,Light sleep,
22:17,Light sleep,
22:18,Light sleep,
22:19,Light sleep,Awake
22:20,Light sleep,Awake
22:21,Light sleep,
22:22,Light sleep,Awake
22:23,Light sleep,Awake
22:24,Light sleep,
22:25,Light sleep,Awake
22:26,Light sleep,Awake
22:27,Light sleep,
22:28,Light sleep,
22:29,Light sleep,
22:30,Light sleep,
22:31,Light sleep,
22:32,Light sleep,
22:33,Light sleep,
22:34,Light sleep,
22:35,Deep sleep,
22:36,Deep sleep,
22:37,Light sleep,
22:38,Light sleep,
22:39,Deep sleep,
22:40,Deep sleep,
22:41,Deep sleep,
22:42,Deep sleep,
22:43,Deep sleep,
22:44,Deep sleep,
22:45,Deep sleep,
22:46,Deep sleep,
22:47,Deep sleep,
22:48,Deep sleep,
22:49,Rem sleep,
22:50,Deep sleep,
22:51,Rem sleep,
22:52,Rem sleep,
22:53,Rem sleep,
22:54,Rem sleep,
22:55,Rem sleep,
