Minute,Class,Awake status
21:02,Light sleep,
21:03,Light sleep,
21:04,Light sleep,
21:05,Light sleep,
21:06,Light sleep,
21:07,Light sleep,
21:08,Light sleep,
21:09,Light sleep,
21:10,Deep sleep,
21:11,Deep sleep,
21:12,Deep sleep,
21:13,Deep sleep,
21:14,Deep sleep,
21:15,Deep sleep,
21:16,Deep sleep,
21:17,Deep sleep,
21:18,Deep sleep,
21:19,Deep sleep,
21:20,Deep sleep,
21:21,Deep sleep,
21:22,Deep sleep,
21:23,Deep sleep,
21:24,Deep sleep,
21:25,Deep sleep,
21:26,Light sleep,Awake
21:27,Light sleep,Awake
21:28,Light sleep,
21:29,Light sleep,Awake
21:30,Light sleep,Awake
21:31,Light sleep,
21:32,Light sleep,Awake
21:33,Light sleep,Awake
21:34,Light sleep,Awake
21:35,Light sleep,Awake
21:36,Light sleep,Awake
21:37,Light sleep,Awake
21:38,Light sleep,Awake
21:39,Light sleep,
21:40,Light sleep,Awake
21:41,Light sleep,Awake
21:42,Light sleep,
21:43,Light sleep,
21:44,Light sleep,
21:45,Light sleep,
21:46,Light sleep,
21:47,Light sleep,
21:48,Light sleep,
21:49,Light sleep,
21:50,Light sleep,Awake
21:51,Light sleep,
21:52,Light sleep,Awake
21:53,Light sleep,Awake
21:54,Light sleep,Awake
21:55,Light sleep,Awake
21:56,Light sleep,
21:57,Light sleep,Awake
21:58,Light sleep,
21:59,Light sleep,
22:00,Light sleep,
22:01,Light sleep,
22:02,Light sleep,
22:03,Light sleep,
22:04,Light sleep,
22:05,Light sleep,
22:06,Rem sleep,Awake
22:07,Rem sleep,Awake
22:08,Rem sleep,Awake
22:09,Rem sleep,Awake
22:10,Rem sleep,Awake
22:11,Rem sleep,Awake
22:12,Rem sleep,
22:13,Rem sleep,Awake
22:14,Rem sleep,
22:15,Rem sleep,
22:16,Rem sleep,
22:17,Rem sleep,
22:18,Rem sleep,
22:19,Rem sleep,
22:20,Rem sleep,
22:21,Rem sleep,
22:22,Rem sleep,
22:23,Rem sleep,
22:24,Rem sleep,
22:25,Rem sleep,
22:26,Rem sleep,
22:27,Rem sleep,
22:28,Rem sleep,
22:29,Rem sleep,
