Minute,Class,Awake status
22:26,Light sleep,
22:27,Light sleep,
22:28,Light sleep,
22:29,Light sleep,
22:30,Light sleep,
22:31,Light sleep,
22:32,Light sleep,
22:33,Light sleep,
22:34,Light sleep,
22:35,Light sleep,
22:36,Light sleep,
22:37,Light sleep,
22:38,Light sleep,
22:39,Light sleep,
22:40,Light sleep,
22:41,Light sleep,
22:42,Light sleep,Awake
22:43,Light sleep,
22:44,Light sleep,Awake
22:45,Light sleep,Awake
22:46,Light sleep,Awake
22:47,Light sleep,Awake
22:48,Light sleep,Awake
22:49,Light sleep,Awake
22:50,Deep sleep,
22:51,Light sleep,
22:52,Deep sleep,
22:53,Deep sleep,
22:54,Deep sleep,
22:55,Deep sleep,
22:56,Deep sleep,
22:57,Deep sleep,
22:58,Deep sleep,
22:59,Deep sleep,
23:00,Deep sleep,
23:01,Deep sleep,
23:02,Deep sleep,
23:03,Deep sleep,
23:04,Deep sleep,
23:05,Deep sleep,
23:06,Light sleep,Awake
23:07,Light sleep,Awake
23:08,Light sleep,Awake
23:09,Light sleep,
23:10,Light sleep,Awake
23:11,Light sleep,Awake
23:12,Light sleep,Awake
23:13,Light sleep,Awake
23:14,Light sleep,
23:15,Light sleep,
23:16,Light sleep,
23:17,Light sleep,
23:18,Light sleep,
23:19,Light sleep,
23:20,Light sleep,
23:21,Light sleep,
23:22,Light sleep,
23:23,Light sleep,
23:24,Light sleep,
23:25,Light sleep,
23:26,Light sleep,
23:27,Light sleep,
23:28,Light sleep,
23:29,Light sleep,
23:30,Light sleep,Awake
23:31,Light sleep,
23:32,Light sleep,
23:33,Light sleep,Awake
23:34,Light sleep,Awake
23:35,Light sleep,Awake
23:36,Light sleep,
23:37,Light sleep,Awake
23:38,Light sleep,Awake
23:39,Light sleep,Awake
23:40,Light sleep,Awake
23:41,Light sleep,Awake
23:42,Light sleep,Awake
23:43,Light sleep,Awake
23:44,Rem sleep,Awake
23:45,Rem sleep,
23:46,Rem sleep,
23:47,Rem sleep,
23:48,Rem sleep,
23:49,Rem sleep,
23:50,Rem sleep,
23:51,Rem sleep,
23:52,Rem sleep,
23:53,Rem sleep,
23:54,Rem sleep,
23:55,Rem sleep,
23:56,Rem sleep,
23:57,Rem sleep,
23:58,Rem sleep,
23:59,Rem sleep,
00:00,Rem sleep,
00:01,Rem sleep,
00:02,Rem sleep,
00:03,Light sleep,
00:04,Rem sleep,
00:05,Light sleep,
00:06,Rem sleep,
00:07,Rem sleep,
00:08,Light sleep,
00:09,Light sleep,
00:10,Deep sleep,
00:11,Deep sleep,
00:12,Light sleep,
00:13,Light sleep,
00:14,Deep sleep,
00:15,Deep sleep,
00:16,Deep sleep,
00:17,Deep sleep,
00:18,Deep sleep,
00:19,Deep sleep,
00:20,Deep sleep,
00:21,Deep sleep,
00:22,Deep sleep,
00:23,Deep sleep,
00:24,Deep sleep,
00:25,Deep sleep,
00:26,Deep sleep,
00:27,Deep sleep,
00:28,Deep sleep,
00:29,Deep sleep,
00:30,Deep sleep,
00:31,Deep sleep,
00:32,Light sleep,
00:33,Deep sleep,
00:34,Light sleep,
00:35,Deep sleep,
00:36,Light sleep,
00:37,Light sleep,
00:38,Deep sleep,
00:39,Light sleep,
00:40,Deep sleep,
00:41,Deep sleep,
00:42,Deep sleep,
00:43,Deep sleep,
00:44,Deep sleep,
00:45,Deep sleep,
00:46,Deep sleep,
00:47,Deep sleep,
00:48,Deep sleep,
00:49,Deep sleep,
00:50,Deep sleep,
00:51,Deep sleep,
00:52,Deep sleep,
00:53,Deep sleep,
00:54,Deep sleep,
00:55,Deep sleep,
00:56,Light sleep,
00:57,Deep sleep,
00:58,Light sleep,
00:59,Light sleep,
01:00,Light sleep,
01:01,Light sleep,
01:02,Light sleep,
01:03,Light sleep,
01:04,Light sleep,
01:05,Light sleep,
01:06,Light sleep,
01:07,Light sleep,
01:08,Light sleep,
01:09,Light sleep,
01:10,Light sleep,
01:11,Light sleep,
01:12,Light sleep,
01:13,Light sleep,
01:14,Light sleep,
01:15,Light sleep,
01:16,Light sleep,
01:17,Light sleep,
01:18,Light sleep,
01:19,Light sleep,
01:20,Light sleep,
01:21,Light sleep,
01:22,Light sleep,
01:23,Light sleep,
01:24,Light sleep,
01:25,Light sleep,
01:26,Light sleep,
01:27,Light sleep,
01:28,Light sleep,
01:29,Light sleep,
01:30,Light sleep,
01:31,Light sleep,
01:32,Rem sleep,
01:33,Rem sleep,
01:34,Light sleep,
01:35,Rem sleep,
01:36,Light sleep,
01:37,Rem sleep,
01:38,Rem sleep,
01:39,Rem sleep,
01:40,Rem sleep,
01:41,Rem sleep,
01:42,Rem sleep,
01:43,Rem sleep,
01:44,Rem sleep,
01:45,Rem sleep,
01:46,Rem sleep,Awake
01:47,Rem sleep,Awake
01:48,Rem sleep,Awake
01:49,Rem sleep,
01:50,Rem sleep,Awake
01:51,Rem sleep,Awake
01:52,Rem sleep,
01:53,Rem sleep,
01:54,Rem sleep,Awake
01:55,Rem sleep,
01:56,Rem sleep,Awake
01:57,Rem sleep,Awake
01:58,Rem sleep,
01:59,Rem sleep,Awake
02:00,Rem sleep,
02:01,Rem sleep,Awake
02:02,Rem sleep,Awake
02:03,Rem sleep,Awake
02:04,Rem sleep,Awake
02:05,Rem sleep,Awake
02:06,Rem sleep,Awake
02:07,Rem sleep,Awake
02:08,Rem sleep,Awake
02:09,Rem sleep,
02:10,Rem sleep,
02:11,Rem sleep,
02:12,Rem sleep,
02:13,Rem sleep,
02:14,Rem sleep,
02:15,Rem sleep,
02:16,Rem sleep,
02:17,Rem sleep,
