Minute,Class,Awake status
23:42,Light sleep,
23:43,Light sleep,
23:44,Light sleep,
23:45,Light sleep,
23:46,Light sleep,
23:47,Light sleep,
23:48,Light sleep,
23:49,Light sleep,
23:50,Light sleep,
23:51,Light sleep,
23:52,Light sleep,
23:53,Light sleep,
23:54,Light sleep,
23:55,Light sleep,
23:56,Light sleep,
23:57,Light sleep,
23:58,Light sleep,Awake
23:59,Light sleep,Awake
00:00,Light sleep,Awake
00:01,Light sleep,Awake
00:02,Light sleep,Awake
00:03,Light sleep,
00:04,Light sleep,Awake
00:05,Light sleep,Awake
00:06,Light sleep,Awake
00:07,Light sleep,Awake
00:08,Light sleep,
00:09,Light sleep,Awake
00:10,Light sleep,
00:11,Light sleep,
00:12,Light sleep,Awake
00:13,Light sleep,Awake
00:14,Light sleep,
00:15,Light sleep,
00:16,Light sleep,
00:17,Light sleep,
00:18,Light sleep,
00:19,Light sleep,
00:20,Light sleep,
00:21,Light sleep,
00:22,Light sleep,
00:23,Light sleep,
00:24,Light sleep,
00:25,Light sleep,
00:26,Light sleep,
00:27,Light sleep,
00:28,Light sleep,
00:29,Light sleep,
00:30,Light sleep,
00:31,Light sleep,
00:32,Light sleep,
00:33,Light sleep,
00:34,Light sleep,
00:35,Light sleep,
00:36,Light sleep,
00:37,Light sleep,
00:38,Light sleep,Awake
00:39,Light sleep,
00:40,Light sleep,
00:41,Light sleep,Awake
00:42,Light sleep,Awake
00:43,Light sleep,Awake
00:44,Light sleep,Awake
00:45,Light sleep,
00:46,Light sleep,Awake
00:47,Light sleep,Awake
00:48,Light sleep,Awake
00:49,Light sleep,Awake
00:50,Light sleep,Awake
00:51,Light sleep,Awake
00:52,Light sleep,
00:53,Rem sleep,Awake
00:54,Rem sleep,
00:55,Rem sleep,
00:56,Rem sleep,
00:57,Rem sleep,
00:58,Rem sleep,
00:59,Rem sleep,
01:00,Rem sleep,
01:01,Rem sleep,
01:02,Rem sleep,Awake
01:03,Rem sleep,
01:04,Rem sleep,Awake
01:05,Rem sleep,Awake
01:06,Rem sleep,
01:07,Rem sleep,Awake
01:08,Rem sleep,Awake
01:09,Rem sleep,Awake
01:10,Light sleep,
01:11,Light sleep,
01:12,Rem sleep,
01:13,Rem sleep,
01:14,Light sleep,
01:15,Light sleep,
01:16,Light sleep,
01:17,Light sleep,
01:18,Light sleep,
01:19,Light sleep,
01:20,Light sleep,
01:21,Light sleep,
01:22,Light sleep,
01:23,Light sleep,
01:24,Light sleep,
01:25,Light sleep,
01:26,Light sleep,
01:27,Light sleep,
01:28,Light sleep,
01:29,Light sleep,
01:30,Light sleep,
01:31,Light sleep,
01:32,Light sleep,
01:33,Light sleep,
01:34,Light sleep,
01:35,Light sleep,
01:36,Light sleep,
01:37,Light sleep,
01:38,Light sleep,
01:39,Light sleep,
01:40,Light sleep,
01:41,Light sleep,
01:42,Light sleep,Awake
01:43,Light sleep,Awake
01:44,Light sleep,Awake
01:45,Light sleep,Awake
01:46,Light sleep,Awake
01:47,Light sleep,Awake
01:48,Light sleep,Awake
01:49,Light sleep,Awake
01:50,Light sleep,Awake
01:51,Light sleep,Awake
01:52,Light sleep,
01:53,Light sleep,Awake
01:54,Light sleep,Awake
01:55,Light sleep,Awake
01:56,Light sleep,Awake
01:57,Light sleep,
01:58,Deep sleep,Awake
01:59,Deep sleep,Awake
02:00,Light sleep,Awake
02:01,Light sleep,Awake
02:02,Deep sleep,Awake
02:03,Deep sleep,Awake
02:04,Deep sleep,Awake
02:05,Deep sleep,Awake
02:06,Deep sleep,
02:07,Deep sleep,
02:08,Deep sleep,
02:09,Deep sleep,
02:10,Deep sleep,
02:11,Deep sleep,
02:12,Deep sleep,
02:13,Deep sleep,
02:14,Deep sleep,Awake
02:15,Deep sleep,Awake
02:16,Deep sleep,
02:17,Deep sleep,Awake
02:18,Deep sleep,Awake
02:19,Deep sleep,Awake
02:20,Deep sleep,Awake
02:21,Deep sleep,
02:22,Deep sleep,
02:23,Deep sleep,
02:24,Deep sleep,
02:25,Deep sleep,
02:26,Deep sleep,
02:27,Deep sleep,
02:28,Light sleep,
02:29,Deep sleep,
02:30,Light sleep,
02:31,Light sleep,
02:32,Light sleep,
02:33,Light sleep,
02:34,Light sleep,
02:35,Light sleep,
02:36,Light sleep,
02:37,Light sleep,
02:38,Light sleep,
02:39,Light sleep,
02:40,Light sleep,Awake
02:41,Light sleep,Awake
02:42,Light sleep,Awake
02:43,Light sleep,Awake
02:44,Light sleep,Awake
02:45,Light sleep,Awake
02:46,Rem sleep,
02:47,Rem sleep,Awake
02:48,Rem sleep,
02:49,Rem sleep,Awake
02:50,Rem sleep,Awake
02:51,Rem sleep,Awake
02:52,Rem sleep,Awake
02:53,Rem sleep,Awake
02:54,Rem sleep,
02:55,Light sleep,Awake
02:56,Rem sleep,Awake
02:57,Rem sleep,Awake
02:58,Light sleep,Awake
02:59,Rem sleep,Awake
03:00,Light sleep,
03:01,Light sleep,Awake
03:02,Light sleep,Awake
03:03,Light sleep,Awake
03:04,Light sleep,
03:05,Light sleep,Awake
03:06,Light sleep,Awake
03:07,Light sleep,Awake
03:08,Light sleep,Awake
03:09,Light sleep,
03:10,Light sleep,
03:11,Light sleep,
03:12,Light sleep,
03:13,Light sleep,
03:14,Light sleep,
03:15,Light sleep,
03:16,Light sleep,
03:17,Light sleep,
03:18,Light sleep,
03:19,Light sleep,
03:20,Light sleep,
03:21,Light sleep,
03:22,Light sleep,
03:23,Light sleep,
03:24,Light sleep,
03:25,Light sleep,
03:26,Light sleep,
03:27,Light sleep,
03:28,Light sleep,
03:29,Light sleep,
03:30,Light sleep,
03:31,Light sleep,
03:32,Light sleep,
03:33,Light sleep,
03:34,Light sleep,Awake
03:35,Light sleep,
03:36,Light sleep,
03:37,Light sleep,Awake
03:38,Light sleep,Awake
03:39,Light sleep,Awake
03:40,Light sleep,Awake
03:41,Light sleep,
03:42,Light sleep,
03:43,Light sleep,
03:44,Light sleep,
03:45,Light sleep,
03:46,Light sleep,
03:47,Light sleep,
03:48,Light sleep,
03:49,Light sleep,
03:50,Light sleep,
03:51,Light sleep,Awake
03:52,Light sleep,Awake
03:53,Light sleep,Awake
03:54,Light sleep,Awake
03:55,Light sleep,Awake
03:56,Light sleep,Awake
03:57,Light sleep,
03:58,Light sleep,
03:59,Light sleep,
04:00,Light sleep,
04:01,Light sleep,
04:02,Light sleep,
04:03,Light sleep,
04:04,Light sleep,
04:05,Light sleep,
04:06,Light sleep,
04:07,Light sleep,
04:08,Light sleep,
04:09,Light sleep,
04:10,Light sleep,
04:11,Light sleep,
04:12,Light sleep,
04:13,Light sleep,
04:14,Light sleep,
04:15,Light sleep,
04:16,Light sleep,
04:17,Light sleep,
04:18,Light sleep,
04:19,Light sleep,
04:20,Rem sleep,
04:21,Light sleep,
04:22,Rem sleep,
04:23,Rem sleep,Awake
04:24,Rem sleep,Awake
04:25,Rem sleep,Awake
04:26,Rem sleep,
04:27,Rem sleep,Awake
04:28,Rem sleep,Awake
04:29,Rem sleep,
04:30,Rem sleep,
04:31,Light sleep,
04:32,Rem sleep,
04:33,Rem sleep,
04:34,Light sleep,
04:35,Rem sleep,
04:36,Light sleep,
04:37,Light sleep,
04:38,Light sleep,
04:39,Light sleep,
04:40,Light sleep,Awake
04:41,Light sleep,Awake
04:42,Light sleep,Awake
04:43,Light sleep,Awake
04:44,Light sleep,Awake
04:45,Light sleep,Awake
04:46,Light sleep,
04:47,Light sleep,
04:48,Light sleep,
04:49,Light sleep,
04:50,Light sleep,
04:51,Light sleep,
04:52,Light sleep,
04:53,Light sleep,
04:54,Light sleep,Awake
04:55,Light sleep,Awake
04:56,Light sleep,
04:57,Light sleep,
04:58,Light sleep,Awake
04:59,Light sleep,
05:00,Light sleep,Awake
05:01,Light sleep,Awake
05:02,Light sleep,Awake
05:03,Light sleep,Awake
05:04,Light sleep,
05:05,Light sleep,Awake
05:06,Light sleep,
05:07,Light sleep,Awake
05:08,Light sleep,Awake
05:09,Light sleep,Awake
05:10,Light sleep,Awake
05:11,Light sleep,Awake
05:12,Light sleep,
05:13,Light sleep,Awake
05:14,Light sleep,Awake
05:15,Light sleep,
05:16,Light sleep,Awake
05:17,Light sleep,Awake
05:18,Light sleep,
05:19,Light sleep,
05:20,Light sleep,
05:21,Light sleep,
05:22,Light sleep,
05:23,Light sleep,
05:24,Light sleep,
05:25,Light sleep,
05:26,Light sleep,Awake
05:27,Light sleep,Awake
05:28,Light sleep,
05:29,Light sleep,Awake
05:30,Light sleep,Awake
05:31,Light sleep,Awake
05:32,Light sleep,Awake
05:33,Light sleep,
05:34,Light sleep,Awake
05:35,Light sleep,Awake
05:36,Light sleep,Awake
05:37,Rem sleep,Awake
05:38,Rem sleep,Awake
05:39,Light sleep,Awake
05:40,Light sleep,Awake
05:41,Rem sleep,Awake
05:42,Light sleep,Awake
05:43,Light sleep,Awake
05:44,Rem sleep,Awake
05:45,Rem sleep,Awake
05:46,Light sleep,Awake
05:47,Light sleep,Awake
05:48,Light sleep,Awake
05:49,Rem sleep,
05:50,Light sleep,Awake
05:51,Light sleep,Awake
05:52,Light sleep,Awake
05:53,Light sleep,Awake
05:54,Light sleep,Awake
05:55,Light sleep,Awake
05:56,Light sleep,Awake
05:57,Light sleep,Awake
05:58,Light sleep,Awake
05:59,Light sleep,Awake
06:00,Light sleep,Awake
06:01,Light sleep,Awake
06:02,Light sleep,Awake
06:03,Light sleep,Awake
06:04,Light sleep,Awake
