Minute,Class,Awake status
23:51,Light sleep,
23:52,Light sleep,
23:53,Light sleep,
23:54,Light sleep,
23:55,Light sleep,
23:56,Light sleep,
23:57,Light sleep,
23:58,Light sleep,
23:59,Light sleep,
00:00,Light sleep,
00:01,Light sleep,
00:02,Light sleep,
00:03,Light sleep,
00:04,Light sleep,
00:05,Light sleep,
00:06,Light sleep,
00:07,Deep sleep,
00:08,Deep sleep,
00:09,Deep sleep,
00:10,Deep sleep,
00:11,Deep sleep,
00:12,Deep sleep,
00:13,Deep sleep,
00:14,Deep sleep,
00:15,Deep sleep,
00:16,Deep sleep,
00:17,Deep sleep,
00:18,Deep sleep,
00:19,Deep sleep,
00:20,Deep sleep,
00:21,Deep sleep,
00:22,Deep sleep,
00:23,Deep sleep,
00:24,Deep sleep,
00:25,Light sleep,
00:26,Light sleep,
00:27,Deep sleep,
00:28,Light sleep,
00:29,Deep sleep,
00:30,Light sleep,
00:31,Light sleep,Awake
00:32,Light sleep,Awake
00:33,Light sleep,Awake
00:34,Light sleep,Awake
00:35,Light sleep,Awake
00:36,Light sleep,Awake
00:37,Light sleep,Awake
00:38,Light sleep,Awake
00:39,Light sleep,Awake
00:40,Light sleep,Awake
00:41,Light sleep,Awake
00:42,Light sleep,
00:43,Light sleep,Awake
00:44,Light sleep,Awake
00:45,Light sleep,
00:46,Light sleep,Awake
00:47,Light sleep,
00:48,Light sleep,
00:49,Light sleep,
00:50,Light sleep,
00:51,Light sleep,
00:52,Light sleep,
00:53,Light sleep,
00:54,Light sleep,
00:55,Light sleep,
00:56,Light sleep,
00:57,Light sleep,
00:58,Light sleep,
00:59,Light sleep,
01:00,Light sleep,
01:01,Light sleep,
01:02,Light sleep,
01:03,Rem sleep,
01:04,Rem sleep,
01:05,Rem sleep,
01:06,Rem sleep,
01:07,Rem sleep,
01:08,Rem sleep,
01:09,Rem sleep,
01:10,Rem sleep,
01:11,Rem sleep,
01:12,Rem sleep,
01:13,Rem sleep,
01:14,Rem sleep,
01:15,Rem sleep,
01:16,Rem sleep,
01:17,Rem sleep,
01:18,Rem sleep,
01:19,Rem sleep,
01:20,Rem sleep,
01:21,Rem sleep,
01:22,Rem sleep,
01:23,Rem sleep,
01:24,Rem sleep,
01:25,Rem sleep,
01:26,Rem sleep,
01:27,Light sleep,
01:28,Light sleep,Awake
01:29,Light sleep,Awake
01:30,Light sleep,Awake
01:31,Light sleep,Awake
01:32,Light sleep,Awake
01:33,Light sleep,Awake
01:34,Light sleep,Awake
01:35,Light sleep,
01:36,Light sleep,
01:37,Light sleep,
01:38,Light sleep,
01:39,Light sleep,
01:40,Light sleep,
01:41,Light sleep,
01:42,Light sleep,
01:43,Light sleep,Awake
01:44,Light sleep,Awake
01:45,Light sleep,
01:46,Light sleep,Awake
01:47,Light sleep,Awake
01:48,Light sleep,Awake
01:49,Light sleep,Awake
01:50,Light sleep,Awake
01:51,Light sleep,
01:52,Light sleep,
01:53,Light sleep,
01:54,Light sleep,
01:55,Light sleep,
01:56,Light sleep,
01:57,Light sleep,
01:58,Light sleep,
01:59,Light sleep,
02:00,Light sleep,
02:01,Light sleep,
02:02,Light sleep,
02:03,Light sleep,
02:04,Light sleep,
02:05,Light sleep,
02:06,Light sleep,
02:07,Light sleep,
02:08,Light sleep,
02:09,Light sleep,
02:10,Light sleep,
02:11,Light sleep,
02:12,Light sleep,
02:13,Light sleep,
02:14,Light sleep,
02:15,Light sleep,
02:16,Light sleep,
02:17,Light sleep,
02:18,Light sleep,
02:19,Light sleep,
02:20,Light sleep,
02:21,Light sleep,
02:22,Light sleep,
02:23,Light sleep,Awake
02:24,Light sleep,Awake
02:25,Light sleep,
02:26,Light sleep,
02:27,Light sleep,Awake
02:28,Light sleep,
02:29,Light sleep,Awake
02:30,Light sleep,Awake
02:31,Light sleep,Awake
02:32,Light sleep,Awake
02:33,Light sleep,
02:34,Light sleep,Awake
02:35,Light sleep,Awake
02:36,Light sleep,Awake
02:37,Light sleep,
02:38,Light sleep,Awake
02:39,Light sleep,Awake
02:40,Light sleep,Awake
02:41,Light sleep,Awake
02:42,Light sleep,Awake
02:43,Light sleep,Awake
02:44,Light sleep,Awake
02:45,Light sleep,
02:46,Light sleep,Awake
02:47,Light sleep,Awake
02:48,Light sleep,
02:49,Light sleep,
02:50,Light sleep,Awake
02:51,Light sleep,Awake
02:52,Light sleep,Awake
02:53,Light sleep,Awake
02:54,Light sleep,Awake
02:55,Light sleep,Awake
02:56,Light sleep,Awake
02:57,Light sleep,
02:58,Light sleep,Awake
02:59,Light sleep,
03:00,Light sleep,
03:01,Rem sleep,Awake
03:02,Light sleep,Awake
03:03,Light sleep,
03:04,Deep sleep,
03:05,Light sleep,
03:06,Light sleep,
03:07,Deep sleep,
03:08,Light sleep,
03:09,Deep sleep,
03:10,Deep sleep,
03:11,Deep sleep,
03:12,Deep sleep,
03:13,Deep sleep,
03:14,Deep sleep,
03:15,Deep sleep,
03:16,Deep sleep,
03:17,Deep sleep,
03:18,Deep sleep,
03:19,Deep sleep,
03:20,Deep sleep,
03:21,Deep sleep,
03:22,Deep sleep,
03:23,Deep sleep,
03:24,Deep sleep,
03:25,Deep sleep,
03:26,Deep sleep,
03:27,Deep sleep,
03:28,Deep sleep,Awake
03:29,Deep sleep,Awake
03:30,Deep sleep,Awake
03:31,Deep sleep,Awake
03:32,Deep sleep,Awake
03:33,Light sleep,Awake
03:34,Deep sleep,
03:35,Light sleep,Awake
03:36,Light sleep,Awake
03:37,Light sleep,Awake
03:38,Light sleep,Awake
03:39,Light sleep,Awake
03:40,Light sleep,Awake
03:41,Light sleep,Awake
03:42,Light sleep,Awake
03:43,Light sleep,Awake
03:44,Light sleep,Awake
03:45,,Awake
03:46,Light sleep,Awake
