Minute,Class,Awake status
23:49,Light sleep,
23:50,Deep sleep,
23:51,Light sleep,
23:52,Light sleep,
23:53,Deep sleep,
23:54,Light sleep,
23:55,Deep sleep,
23:56,Deep sleep,
23:57,Deep sleep,
23:58,Deep sleep,
23:59,Deep sleep,
00:00,Deep sleep,
00:01,Deep sleep,
00:02,Deep sleep,
00:03,Deep sleep,
00:04,Deep sleep,
00:05,Deep sleep,
00:06,Deep sleep,
00:07,Deep sleep,
00:08,Deep sleep,
00:09,Deep sleep,
00:10,Deep sleep,
00:11,Deep sleep,
00:12,Deep sleep,
00:13,Deep sleep,
00:14,Deep sleep,
00:15,Deep sleep,
00:16,Deep sleep,
00:17,Light sleep,
00:18,Light sleep,
00:19,Deep sleep,
00:20,Deep sleep,
00:21,Light sleep,Awake
00:22,Light sleep,Awake
00:23,Light sleep,Awake
00:24,Light sleep,Awake
00:25,Light sleep,
00:26,Light sleep,Awake
00:27,Light sleep,Awake
00:28,Light sleep,Awake
00:29,Light sleep,
00:30,Rem sleep,
00:31,Light sleep,
00:32,Light sleep,
00:33,Rem sleep,
00:34,Light sleep,
00:35,Rem sleep,
00:36,Rem sleep,
00:37,Light sleep,
00:38,Rem sleep,
00:39,Light sleep,
00:40,Light sleep,
00:41,Light sleep,
00:42,Light sleep,
00:43,Light sleep,
00:44,Light sleep,
00:45,Deep sleep,
00:46,Light sleep,
00:47,Deep sleep,
00:48,Deep sleep,
00:49,Deep sleep,
00:50,Deep sleep,
00:51,Deep sleep,
00:52,Deep sleep,
00:53,Deep sleep,
00:54,Deep sleep,
00:55,Deep sleep,
00:56,Deep sleep,
00:57,Deep sleep,
00:58,Deep sleep,
00:59,Deep sleep,
01:00,Deep sleep,
01:01,Deep sleep,
01:02,Deep sleep,
01:03,Light sleep,
01:04,Deep sleep,
01:05,Light sleep,
01:06,Light sleep,
01:07,Deep sleep,
01:08,Light sleep,
01:09,Light sleep,
01:10,Light sleep,
01:11,Light sleep,
01:12,Light sleep,
01:13,Rem sleep,
01:14,Rem sleep,
01:15,Light sleep,
01:16,Light sleep,
01:17,Rem sleep,
01:18,Rem sleep,
01:19,Rem sleep,
01:20,Rem sleep,
01:21,Rem sleep,
01:22,Rem sleep,
01:23,Rem sleep,
01:24,Rem sleep,
01:25,Rem sleep,
01:26,Rem sleep,
01:27,Rem sleep,
01:28,Rem sleep,
01:29,Rem sleep,
01:30,Rem sleep,
01:31,Rem sleep,
01:32,Rem sleep,
01:33,Rem sleep,
01:34,Rem sleep,
01:35,Rem sleep,
01:36,Rem sleep,
01:37,Rem sleep,
01:38,Rem sleep,
01:39,Rem sleep,
01:40,Rem sleep,
01:41,Rem sleep,
01:42,Light sleep,
01:43,Light sleep,
01:44,Light sleep,
01:45,Light sleep,
01:46,Light sleep,
01:47,Light sleep,
01:48,Light sleep,
01:49,Light sleep,
01:50,Light sleep,
01:51,Light sleep,
01:52,Light sleep,
01:53,Light sleep,
01:54,Light sleep,
01:55,Light sleep,
01:56,Light sleep,
01:57,Light sleep,
01:58,Light sleep,
01:59,Light sleep,
02:00,Light sleep,
02:01,Light sleep,
02:02,Light sleep,
02:03,Light sleep,
02:04,Light sleep,
02:05,Light sleep,Awake
02:06,Light sleep,Awake
02:07,Light sleep,
02:08,Light sleep,Awake
02:09,Light sleep,Awake
02:10,Light sleep,Awake
02:11,Light sleep,Awake
02:12,Light sleep,Awake
02:13,Light sleep,Awake
02:14,Light sleep,
02:15,Light sleep,Awake
02:16,Light sleep,Awake
02:17,Light sleep,
02:18,Light sleep,Awake
02:19,Light sleep,Awake
02:20,Light sleep,Awake
02:21,Light sleep,Awake
02:22,Light sleep,Awake
02:23,Light sleep,Awake
02:24,Light sleep,Awake
02:25,Light sleep,
02:26,Light sleep,
02:27,Light sleep,Awake
02:28,Light sleep,Awake
02:29,Rem sleep,Awake
02:30,Light sleep,Awake
02:31,Light sleep,Awake
02:32,Light sleep,Awake
02:33,Light sleep,
02:34,Light sleep,
02:35,Light sleep,Awake
02:36,Light sleep,Awake
02:37,Light sleep,Awake
02:38,Light sleep,Awake
02:39,Light sleep,
02:40,Light sleep,Awake
02:41,Light sleep,
02:42,Light sleep,
02:43,Light sleep,Awake
02:44,Light sleep,Awake
02:45,Light sleep,Awake
02:46,Light sleep,
02:47,Light sleep,Awake
02:48,Light sleep,Awake
02:49,Light sleep,Awake
02:50,Light sleep,Awake
02:51,Light sleep,
02:52,Light sleep,Awake
02:53,Light sleep,
02:54,Light sleep,
02:55,Light sleep,
02:56,Light sleep,
02:57,Light sleep,
02:58,Light sleep,
02:59,Light sleep,
03:00,Light sleep,
03:01,Light sleep,
03:02,Light sleep,
03:03,Light sleep,
03:04,Light sleep,
03:05,Light sleep,
03:06,Light sleep,
03:07,Light sleep,
03:08,Light sleep,
03:09,Rem sleep,
03:10,Rem sleep,
03:11,Rem sleep,
03:12,Rem sleep,
03:13,Rem sleep,
03:14,Rem sleep,
03:15,Rem sleep,
03:16,Rem sleep,
03:17,Rem sleep,
03:18,Rem sleep,
03:19,Rem sleep,
03:20,Rem sleep,
03:21,Rem sleep,
03:22,Rem sleep,
03:23,Rem sleep,
03:24,Rem sleep,
03:25,Light sleep,
03:26,Rem sleep,
03:27,Rem sleep,
03:28,Light sleep,
03:29,Light sleep,
03:30,Light sleep,
03:31,Light sleep,
03:32,Light sleep,
03:33,Light sleep,
03:34,Light sleep,
03:35,Light sleep,
03:36,Light sleep,
03:37,Light sleep,
03:38,Light sleep,
03:39,Light sleep,
03:40,Light sleep,
03:41,Light sleep,Awake
03:42,Light sleep,Awake
03:43,Light sleep,
03:44,Light sleep,Awake
03:45,Light sleep,Awake
03:46,Light sleep,Awake
03:47,Light sleep,Awake
03:48,Light sleep,Awake
03:49,Light sleep,Awake
03:50,,Awake
03:51,Light sleep,Awake
03:52,,Awake
03:53,Light sleep,Awake
03:54,Light sleep,Awake
03:55,Light sleep,Awake
03:56,Light sleep,Awake
03:57,Light sleep,
03:58,Light sleep,
03:59,Light sleep,
04:00,Light sleep,
04:01,Light sleep,
04:02,Light sleep,
04:03,Light sleep,
04:04,Light sleep,
04:05,Light sleep,Awake
04:06,Light sleep,
04:07,Light sleep,Awake
04:08,Light sleep,Awake
04:09,Light sleep,Awake
04:10,Light sleep,Awake
04:11,Light sleep,Awake
04:12,Light sleep,
04:13,Light sleep,
04:14,Light sleep,
04:15,Light sleep,
04:16,Light sleep,
04:17,Light sleep,
04:18,Light sleep,
04:19,Light sleep,
04:20,Light sleep,
04:21,Light sleep,Awake
04:22,Light sleep,
04:23,Light sleep,Awake
04:24,Light sleep,Awake
04:25,Light sleep,Awake
04:26,Light sleep,Awake
04:27,Light sleep,Awake
04:28,Light sleep,Awake
04:29,Light sleep,
04:30,Light sleep,
04:31,Light sleep,
04:32,Light sleep,
04:33,Light sleep,
04:34,Light sleep,
04:35,Light sleep,
04:36,Light sleep,
04:37,Rem sleep,
04:38,Rem sleep,
04:39,Rem sleep,
04:40,Rem sleep,
04:41,Rem sleep,
04:42,Rem sleep,
04:43,Rem sleep,
04:44,Rem sleep,
04:45,Rem sleep,
04:46,Rem sleep,
04:47,Rem sleep,
04:48,Rem sleep,
04:49,Rem sleep,
04:50,Rem sleep,
04:51,Rem sleep,
04:52,Rem sleep,
04:53,Rem sleep,
04:54,Rem sleep,
04:55,Rem sleep,
04:56,Rem sleep,
04:57,Rem sleep,
04:58,Rem sleep,
04:59,Rem sleep,
05:00,Rem sleep,
05:01,Light sleep,
05:02,Light sleep,
05:03,Light sleep,
05:04,Light sleep,
05:05,Light sleep,
05:06,Light sleep,
05:07,Light sleep,
05:08,Light sleep,
05:09,Light sleep,
05:10,Light sleep,
05:11,Light sleep,
05:12,Light sleep,
05:13,Light sleep,
05:14,Light sleep,
05:15,Light sleep,
05:16,Light sleep,
05:17,Rem sleep,Awake
05:18,Light sleep,Awake
05:19,Rem sleep,
05:20,Rem sleep,
05:21,Light sleep,Awake
05:22,Rem sleep,
05:23,Light sleep,Awake
05:24,Light sleep,Awake
05:25,Light sleep,Awake
05:26,Light sleep,Awake
05:27,Light sleep,Awake
05:28,Light sleep,Awake
05:29,Light sleep,Awake
05:30,Light sleep,Awake
05:31,Light sleep,Awake
05:32,Light sleep,Awake
05:33,Light sleep,
05:34,Light sleep,
05:35,Light sleep,
05:36,Light sleep,
05:37,Light sleep,
05:38,Light sleep,
05:39,Light sleep,
05:40,Light sleep,
05:41,Light sleep,
05:42,Light sleep,
05:43,Light sleep,
05:44,Light sleep,
05:45,Light sleep,
05:46,Light sleep,
05:47,Light sleep,
05:48,Light sleep,
05:49,Light sleep,
05:50,Light sleep,
05:51,Light sleep,
05:52,Light sleep,
05:53,Light sleep,
05:54,Light sleep,
05:55,Light sleep,
05:56,Light sleep,
05:57,Light sleep,
05:58,Light sleep,
05:59,Light sleep,
06:00,Light sleep,
06:01,Light sleep,
06:02,Light sleep,
06:03,Light sleep,
06:04,Light sleep,
06:05,Light sleep,
06:06,Light sleep,
06:07,Light sleep,
06:08,Light sleep,
06:09,Light sleep,
06:10,Light sleep,
06:11,Light sleep,
06:12,Light sleep,
06:13,Light sleep,
06:14,Light sleep,
06:15,Rem sleep,
06:16,Rem sleep,
06:17,Light sleep,
06:18,Rem sleep,
06:19,Light sleep,
06:20,Rem sleep,
06:21,Rem sleep,
06:22,Rem sleep,
06:23,Rem sleep,
06:24,Rem sleep,
06:25,Rem sleep,
06:26,Rem sleep,
06:27,Rem sleep,
06:28,Rem sleep,
06:29,Rem sleep,
06:30,Rem sleep,
06:31,Rem sleep,
06:32,Rem sleep,
06:33,Rem sleep,
06:34,Rem sleep,
06:35,Rem sleep,
06:36,Rem sleep,
06:37,Rem sleep,
06:38,Rem sleep,
06:39,Rem sleep,
06:40,Rem sleep,
06:41,Rem sleep,
06:42,Rem sleep,
06:43,Rem sleep,
06:44,Rem sleep,
06:45,Light sleep,Awake
06:46,Light sleep,Awake
06:47,Rem sleep,Awake
06:48,Light sleep,Awake
06:49,Light sleep,Awake
06:50,Light sleep,Awake
06:51,Light sleep,
06:52,Light sleep,Awake
06:53,Light sleep,Awake
06:54,Light sleep,Awake
06:55,Light sleep,Awake
06:56,Light sleep,Awake
06:57,Light sleep,Awake
06:58,Light sleep,Awake
