Minute,Class,Awake status
00:56,Deep sleep,Awake
00:57,Deep sleep,Awake
00:58,Deep sleep,Awake
00:59,Deep sleep,Awake
01:00,Deep sleep,Awake
01:01,Deep sleep,
01:02,Deep sleep,
01:03,Deep sleep,Awake
01:04,Deep sleep,
01:05,Deep sleep,
01:06,Deep sleep,
01:07,Deep sleep,
01:08,Deep sleep,
01:09,Deep sleep,
01:10,Deep sleep,
01:11,Deep sleep,
01:12,Deep sleep,
01:13,Deep sleep,
01:14,Deep sleep,
01:15,Deep sleep,
01:16,Deep sleep,
01:17,Deep sleep,
01:18,Deep sleep,
01:19,Deep sleep,
01:20,Deep sleep,
01:21,Deep sleep,
01:22,Deep sleep,
01:23,Deep sleep,
01:24,Light sleep,
01:25,Light sleep,
01:26,Deep sleep,
01:27,Deep sleep,
01:28,Light sleep,
01:29,Light sleep,
01:30,Light sleep,
01:31,Light sleep,
01:32,Light sleep,
01:33,Light sleep,
01:34,Light sleep,
01:35,Light sleep,
01:36,Light sleep,
01:37,Light sleep,
01:38,Light sleep,
01:39,Light sleep,
01:40,Light sleep,
01:41,Light sleep,
01:42,Light sleep,
01:43,Light sleep,
01:44,Light sleep,
01:45,Light sleep,
01:46,Light sleep,
01:47,Light sleep,
01:48,Light sleep,
01:49,Light sleep,
01:50,Light sleep,
01:51,Light sleep,
01:52,Light sleep,
01:53,Light sleep,
01:54,Light sleep,
01:55,Light sleep,
01:56,Light sleep,
01:57,Light sleep,
01:58,Light sleep,
01:59,Light sleep,
02:00,Light sleep,
02:01,Light sleep,
02:02,Light sleep,
02:03,Light sleep,
02:04,Light sleep,
02:05,Light sleep,
02:06,Light sleep,
02:07,Light sleep,
02:08,Light sleep,Awake
02:09,Light sleep,Awake
02:10,Light sleep,Awake
02:11,Light sleep,Awake
02:12,Light sleep,Awake
02:13,Light sleep,Awake
02:14,Light sleep,Awake
02:15,Light sleep,Awake
02:16,Rem sleep,
02:17,Rem sleep,
02:18,Rem sleep,
02:19,Rem sleep,
02:20,Rem sleep,
02:21,Rem sleep,
02:22,Rem sleep,
02:23,Rem sleep,
02:24,Rem sleep,
02:25,Rem sleep,
02:26,Rem sleep,
02:27,Rem sleep,
02:28,Rem sleep,
02:29,Rem sleep,
02:30,Rem sleep,
02:31,Rem sleep,
02:32,Rem sleep,
02:33,Rem sleep,
02:34,Rem sleep,
02:35,Rem sleep,
02:36,Rem sleep,
02:37,Rem sleep,
02:38,Rem sleep,
02:39,Rem sleep,
02:40,Rem sleep,Awake
02:41,Rem sleep,Awake
02:42,Rem sleep,
02:43,Rem sleep,Awake
02:44,Rem sleep,
02:45,Rem sleep,
02:46,Rem sleep,Awake
02:47,Rem sleep,Awake
02:48,,Awake
02:49,Rem sleep,Awake
02:50,Rem sleep,Awake
02:51,Rem sleep,Awake
02:52,Rem sleep,Awake
02:53,Rem sleep,
02:54,Rem sleep,Awake
02:55,Rem sleep,Awake
02:56,Rem sleep,Awake
02:57,Light sleep,Awake
02:58,Light sleep,Awake
02:59,Light sleep,Awake
03:00,Light sleep,
03:01,Light sleep,
03:02,Light sleep,Awake
03:03,Light sleep,Awake
03:04,Light sleep,Awake
03:05,Light sleep,Awake
03:06,Light sleep,
03:07,Light sleep,Awake
03:08,Light sleep,Awake
03:09,Light sleep,Awake
03:10,Light sleep,Awake
03:11,Light sleep,Awake
03:12,Light sleep,
03:13,Light sleep,Awake
03:14,Light sleep,Awake
03:15,Light sleep,
03:16,Light sleep,Awake
03:17,Light sleep,Awake
03:18,Light sleep,Awake
03:19,Light sleep,Awake
03:20,Light sleep,
03:21,Light sleep,
03:22,Light sleep,
03:23,Light sleep,
03:24,Light sleep,
03:25,Light sleep,
03:26,Light sleep,
03:27,Light sleep,
03:28,Light sleep,
03:29,Light sleep,
03:30,Light sleep,
03:31,Light sleep,
03:32,Light sleep,
03:33,Light sleep,
03:34,Light sleep,
03:35,Light sleep,
03:36,Light sleep,
03:37,Light sleep,
03:38,Light sleep,
03:39,Light sleep,
03:40,Light sleep,
03:41,Light sleep,
03:42,Light sleep,
03:43,Light sleep,
03:44,Light sleep,Awake
03:45,Light sleep,Awake
03:46,Light sleep,Awake
03:47,Rem sleep,Awake
03:48,Light sleep,Awake
03:49,Rem sleep,Awake
03:50,Light sleep,Awake
03:51,Light sleep,Awake
03:52,Light sleep,Awake
03:53,Light sleep,Awake
03:54,Light sleep,
03:55,Light sleep,Awake
03:56,Light sleep,
03:57,Light sleep,Awake
03:58,Light sleep,Awake
03:59,Light sleep,
04:00,Light sleep,
04:01,Light sleep,
04:02,Light sleep,
04:03,Light sleep,
04:04,Light sleep,
04:05,Light sleep,
04:06,Light sleep,
04:07,Light sleep,
04:08,Light sleep,
04:09,Light sleep,
04:10,Light sleep,
04:11,Light sleep,
04:12,Light sleep,
04:13,Light sleep,
04:14,Rem sleep,
04:15,Light sleep,
04:16,Rem sleep,
04:17,Rem sleep,
04:18,Rem sleep,
04:19,Rem sleep,
04:20,Rem sleep,
04:21,Rem sleep,
04:22,Rem sleep,
04:23,Rem sleep,
04:24,Rem sleep,
04:25,Rem sleep,
04:26,Rem sleep,
04:27,Rem sleep,
04:28,Rem sleep,
04:29,Rem sleep,
04:30,Rem sleep,
04:31,Rem sleep,
04:32,Rem sleep,
04:33,Light sleep,
04:34,Light sleep,
04:35,Light sleep,
04:36,Light sleep,
04:37,Light sleep,
04:38,Light sleep,
04:39,Light sleep,
04:40,Light sleep,
04:41,Light sleep,
04:42,Light sleep,
04:43,Light sleep,
04:44,Light sleep,
04:45,Light sleep,
04:46,Light sleep,
04:47,Light sleep,
04:48,Light sleep,
04:49,Light sleep,
04:50,Light sleep,
04:51,Light sleep,
04:52,Light sleep,
04:53,Light sleep,
04:54,Light sleep,
04:55,Light sleep,
04:56,Light sleep,
04:57,Light sleep,
04:58,Light sleep,
04:59,Light sleep,
05:00,Light sleep,
05:01,Light sleep,
05:02,Light sleep,
05:03,Light sleep,
05:04,Light sleep,
05:05,Light sleep,
05:06,Light sleep,
05:07,Light sleep,
05:08,Light sleep,
05:09,Light sleep,
05:10,Light sleep,
05:11,Light sleep,
05:12,Light sleep,Awake
05:13,Light sleep,Awake
05:14,Light sleep,
05:15,Light sleep,Awake
05:16,Light sleep,Awake
05:17,Light sleep,Awake
05:18,Light sleep,Awake
05:19,Light sleep,Awake
05:20,Light sleep,Awake
05:21,Light sleep,Awake
05:22,Light sleep,Awake
05:23,Light sleep,
05:24,Light sleep,Awake
05:25,Light sleep,Awake
05:26,Light sleep,Awake
05:27,Light sleep,Awake
05:28,Light sleep,Awake
05:29,Light sleep,Awake
05:30,Light sleep,Awake
05:31,Light sleep,Awake
05:32,Light sleep,Awake
05:33,Light sleep,
05:34,Light sleep,Awake
05:35,Light sleep,Awake
05:36,Light sleep,Awake
05:37,Light sleep,
05:38,Light sleep,Awake
05:39,Light sleep,Awake
05:40,Light sleep,Awake
05:41,Light sleep,Awake
05:42,Light sleep,Awake
05:43,Light sleep,
05:44,Light sleep,Awake
05:45,Light sleep,Awake
05:46,Light sleep,Awake
05:47,Light sleep,Awake
