Minute,Class,Awake status
23:28,Rem sleep,Awake
23:29,Light sleep,Awake
23:30,Light sleep,Awake
23:31,Light sleep,Awake
23:32,Light sleep,Awake
23:33,Light sleep,
23:34,Light sleep,Awake
23:35,Light sleep,Awake
23:36,Light sleep,
23:37,Light sleep,
23:38,Light sleep,
23:39,Light sleep,
23:40,Light sleep,
23:41,Light sleep,
23:42,Light sleep,
23:43,Light sleep,
23:44,Light sleep,
23:45,Light sleep,
23:46,Light sleep,
23:47,Light sleep,
23:48,Light sleep,
23:49,Light sleep,
23:50,Light sleep,
23:51,Light sleep,
23:52,Light sleep,Awake
23:53,Light sleep,Awake
23:54,Light sleep,Awake
23:55,Light sleep,Awake
23:56,Light sleep,Awake
23:57,Light sleep,
23:58,Light sleep,
23:59,Light sleep,Awake
00:00,Light sleep,Awake
00:01,Light sleep,
00:02,Light sleep,Awake
00:03,Light sleep,Awake
00:04,Light sleep,Awake
00:05,Light sleep,Awake
00:06,Light sleep,
00:07,Light sleep,Awake
00:08,Light sleep,Awake
00:09,Light sleep,Awake
00:10,Light sleep,Awake
00:11,Light sleep,Awake
00:12,Light sleep,Awake
00:13,Light sleep,Awake
00:14,Light sleep,
00:15,Light sleep,Awake
00:16,Light sleep,Awake
00:17,Light sleep,
00:18,Light sleep,Awake
00:19,Light sleep,Awake
00:20,Light sleep,Awake
00:21,Light sleep,Awake
00:22,Light sleep,Awake
00:23,Light sleep,Awake
00:24,Light sleep,
00:25,Light sleep,
00:26,Light sleep,
00:27,Light sleep,
00:28,Light sleep,
00:29,Light sleep,
00:30,Light sleep,
00:31,Light sleep,
00:32,Light sleep,Awake
00:33,Light sleep,Awake
00:34,Light sleep,Awake
00:35,Light sleep,Awake
00:36,Light sleep,Awake
00:37,Rem sleep,
00:38,Rem sleep,
00:39,Light sleep,Awake
00:40,Rem sleep,
00:41,Rem sleep,
00:42,Rem sleep,
00:43,Rem sleep,
00:44,Rem sleep,
00:45,Rem sleep,
00:46,Rem sleep,
00:47,Rem sleep,
00:48,Rem sleep,
00:49,Rem sleep,
00:50,Light sleep,
00:51,Light sleep,
00:52,Light sleep,
00:53,Light sleep,
00:54,Light sleep,
00:55,Light sleep,
00:56,Light sleep,
00:57,Light sleep,
00:58,Light sleep,
00:59,Light sleep,
01:00,Light sleep,
01:01,Light sleep,
01:02,Light sleep,
01:03,Light sleep,
01:04,Light sleep,
01:05,Light sleep,
01:06,Light sleep,
01:07,Light sleep,
01:08,Light sleep,
01:09,Light sleep,
01:10,Light sleep,
01:11,Light sleep,
01:12,Light sleep,
01:13,Light sleep,
01:14,Light sleep,
01:15,Light sleep,
01:16,Light sleep,
01:17,Light sleep,
01:18,Light sleep,
01:19,Light sleep,
01:20,Deep sleep,
01:21,Deep sleep,
01:22,Deep sleep,Awake
01:23,Deep sleep,Awake
01:24,Deep sleep,
01:25,Deep sleep,Awake
01:26,Light sleep,Awake
01:27,Deep sleep,
01:28,Light sleep,Awake
01:29,Light sleep,Awake
01:30,Light sleep,Awake
01:31,Light sleep,
01:32,Light sleep,Awake
01:33,Light sleep,
01:34,Light sleep,Awake
01:35,Light sleep,Awake
01:36,Light sleep,Awake
01:37,Light sleep,Awake
01:38,Light sleep,Awake
01:39,Light sleep,
01:40,Light sleep,Awake
01:41,Light sleep,Awake
01:42,Light sleep,Awake
01:43,Light sleep,Awake
01:44,Light sleep,Awake
01:45,Light sleep,Awake
01:46,Light sleep,Awake
01:47,Light sleep,
01:48,Light sleep,Awake
01:49,Light sleep,
01:50,Light sleep,Awake
01:51,Light sleep,Awake
01:52,Light sleep,Awake
01:53,Light sleep,Awake
01:54,Light sleep,
01:55,Light sleep,Awake
01:56,Light sleep,Awake
01:57,Light sleep,Awake
01:58,Light sleep,Awake
01:59,Light sleep,
02:00,Light sleep,
02:01,Light sleep,Awake
02:02,Light sleep,
02:03,Light sleep,Awake
02:04,Light sleep,Awake
02:05,Light sleep,Awake
02:06,Light sleep,Awake
02:07,Light sleep,Awake
02:08,Light sleep,
