Minute,Class,Awake status
01:16,Light sleep,Awake
01:17,Deep sleep,Awake
01:18,Deep sleep,Awake
01:19,Deep sleep,
01:20,Deep sleep,Awake
01:21,Deep sleep,Awake
01:22,Deep sleep,Awake
01:23,Deep sleep,
01:24,Deep sleep,Awake
01:25,Deep sleep,Awake
01:26,Deep sleep,Awake
01:27,Deep sleep,Awake
01:28,Deep sleep,Awake
01:29,Deep sleep,Awake
01:30,Deep sleep,Awake
01:31,Deep sleep,Awake
01:32,Deep sleep,
01:33,Deep sleep,
01:34,Deep sleep,
01:35,Deep sleep,
01:36,Deep sleep,
01:37,Deep sleep,
01:38,Deep sleep,
01:39,Deep sleep,
01:40,Deep sleep,
01:41,Deep sleep,
01:42,Deep sleep,
01:43,Deep sleep,
01:44,Deep sleep,
01:45,Deep sleep,
01:46,Deep sleep,
01:47,Deep sleep,
01:48,Deep sleep,Awake
01:49,Deep sleep,Awake
01:50,Light sleep,
01:51,Light sleep,
01:52,Deep sleep,Awake
01:53,Deep sleep,Awake
01:54,Light sleep,Awake
01:55,Light sleep,Awake
01:56,Light sleep,
01:57,Light sleep,Awake
01:58,Light sleep,
01:59,Light sleep,Awake
02:00,Light sleep,
02:01,Light sleep,
02:02,Light sleep,Awake
02:03,Light sleep,Awake
02:04,Light sleep,Awake
02:05,Light sleep,Awake
02:06,Light sleep,
02:07,Light sleep,Awake
02:08,Light sleep,Awake
02:09,Light sleep,
02:10,Light sleep,Awake
02:11,Light sleep,Awake
02:12,Light sleep,Awake
02:13,Light sleep,Awake
02:14,Rem sleep,Awake
02:15,Light sleep,Awake
02:16,Rem sleep,Awake
02:17,Rem sleep,Awake
02:18,Light sleep,Awake
02:19,Rem sleep,Awake
02:20,Rem sleep,
02:21,Rem sleep,
02:22,Rem sleep,
02:23,Rem sleep,
02:24,Rem sleep,
02:25,Rem sleep,
02:26,Rem sleep,
02:27,Rem sleep,
02:28,Rem sleep,Awake
02:29,Light sleep,Awake
02:30,Rem sleep,Awake
02:31,Rem sleep,Awake
02:32,Light sleep,Awake
02:33,Rem sleep,Awake
02:34,Light sleep,Awake
02:35,Light sleep,Awake
02:36,Light sleep,Awake
02:37,Light sleep,Awake
02:38,Light sleep,Awake
02:39,Light sleep,Awake
02:40,Light sleep,Awake
02:41,Light sleep,Awake
02:42,Light sleep,Awake
02:43,Light sleep,Awake
02:44,Light sleep,
02:45,Light sleep,
02:46,Light sleep,
02:47,Light sleep,
02:48,Light sleep,
02:49,Light sleep,
02:50,Light sleep,
02:51,Light sleep,
02:52,Deep sleep,
02:53,Deep sleep,
02:54,Deep sleep,
02:55,Deep sleep,
02:56,Deep sleep,
02:57,Deep sleep,
02:58,Deep sleep,
02:59,Deep sleep,
03:00,Deep sleep,
03:01,Deep sleep,
03:02,Deep sleep,
03:03,Deep sleep,
03:04,Deep sleep,
03:05,Deep sleep,
03:06,Light sleep,
03:07,Deep sleep,
03:08,Light sleep,
03:09,Light sleep,
03:10,Light sleep,
03:11,Light sleep,
03:12,Light sleep,
03:13,Light sleep,
03:14,Light sleep,
03:15,Light sleep,
03:16,Light sleep,
03:17,Light sleep,
03:18,Rem sleep,
03:19,Rem sleep,
03:20,Light sleep,
03:21,Rem sleep,
03:22,Light sleep,
03:23,Rem sleep,
03:24,Rem sleep,Awake
03:25,Light sleep,Awake
03:26,Rem sleep,Awake
03:27,Light sleep,Awake
03:28,Light sleep,Awake
03:29,Light sleep,Awake
03:30,Light sleep,Awake
03:31,Light sleep,Awake
03:32,Light sleep,Awake
03:33,Light sleep,Awake
03:34,Light sleep,Awake
03:35,Rem sleep,Awake
03:36,Light sleep,
03:37,Light sleep,Awake
03:38,Light sleep,Awake
03:39,Rem sleep,Awake
03:40,Light sleep,Awake
03:41,Light sleep,Awake
03:42,Light sleep,Awake
03:43,Light sleep,
03:44,Light sleep,Awake
03:45,Light sleep,Awake
03:46,Light sleep,Awake
03:47,Light sleep,
03:48,Light sleep,Awake
03:49,Light sleep,Awake
03:50,Light sleep,Awake
03:51,Light sleep,
03:52,Light sleep,Awake
03:53,Light sleep,Awake
03:54,Light sleep,Awake
03:55,Light sleep,Awake
03:56,Light sleep,
03:57,Rem sleep,Awake
03:58,Light sleep,
03:59,Light sleep,Awake
04:00,Light sleep,
04:01,Light sleep,
04:02,Rem sleep,Awake
04:03,Light sleep,Awake
04:04,Light sleep,Awake
04:05,Light sleep,Awake
04:06,Light sleep,
04:07,Light sleep,Awake
04:08,Light sleep,Awake
04:09,Light sleep,Awake
04:10,Light sleep,Awake
04:11,Light sleep,Awake
04:12,Light sleep,
04:13,Light sleep,Awake
04:14,Light sleep,Awake
04:15,Light sleep,Awake
04:16,Light sleep,Awake
04:17,Light sleep,Awake
04:18,Light sleep,Awake
04:19,Light sleep,Awake
04:20,Light sleep,Awake
04:21,Light sleep,
04:22,Light sleep,Awake
04:23,Light sleep,Awake
04:24,Light sleep,Awake
04:25,Light sleep,Awake
04:26,Light sleep,Awake
04:27,Rem sleep,Awake
04:28,Rem sleep,Awake
04:29,Light sleep,Awake
04:30,Light sleep,
04:31,Light sleep,
